	user_iduser_id	YoB	grade	neventsuser_id	ndays_act	nplay_video	nforum_postsuser_id	nforum_endorsed	nforum_threadsuser_id	nforum_comments	ntranscriptuser_id	nshow_answer	nvideo	nseq_gotouser_id	nseek_videouser_id	npause_videouser_id	avg_dtuser_id	sdv_dtuser_id	max_dtuser_id	n_dt	sum_dtuser_id	isstaff	user_iduser_id	neventsuser_id	nplayvideo	ntranscriptuser_id	nseq_gotouser_id	nseek_videouser_id	npause_videouser_id	nvideos_viewed	nvideos_watched_sec	nforum_reads	nforum_postsuser_id	nforum_threadsuser_id	avg_dtuser_id	sdv_dtuser_id	max_dtuser_id	sum_dtuser_id	nproblems_attempted	nproblems_answered
28	4585	1993.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	137.0	14.0	0.0	4.0	3.0	6.0	5	698.8071630000003	0	0	0	11.02224930232558	31.171412276986622	267.902386	1421.87016	0	0
29	5741	1981.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	7.0	0.0	0.0	4.0	0.0	0.0	0	0.0	0	0	0	6.008348000000002	7.698220708325893	20.539746	36.050088	0	0
30	679	1994.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	309.0	0.0	0.0	32.0	0.0	0.0	0	0.0	0	0	0	10.567435010033446	34.185914403213296	251.266312	3159.6630680000007	0	0
31	869	1986.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	45.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	4.845531125000001	16.82538907817303	105.42088100000001	193.82124500000003	0	0
32	1428	1984.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	4489	54.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	7.67313884	24.07604298103989	126.057341	383.656942	0	0
33	5815	1989.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	96.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	16.007236435294107	36.000803049138106	213.55832400000003	1360.6150969999997	9	9
34	4483	0.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	7.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	3.617947000000001	6.211578767026078	15.958306	21.707682	0	0
35	2592	1994.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	43.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	11.027759153846157	25.709113945398308	100.962278	430.08260700000005	2	2
36	2507	1978.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	116.0	0.0	0.0	10.0	0.0	0.0	0	0.0	0	0	0	16.861571128440374	47.214653346306285	279.302642	1837.9112530000007	0	0
37	3788	1953.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	3707	17.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	10.882325333333332	27.32625524145524	106.94806000000001	163.23487999999998	0	0
